AEA,AEA_NAME,COUNTY,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,Total_PK12,White_Total,Perc_White
12,Northwest AEA,24,Crawford,5832,Schleswig Comm School District,139,123,88.49
12,Northwest AEA,97,Woodbury,5877,Sergeant Bluff-Luton Comm School District,1729,1334,77.15
15,Great Prairie AEA,93,Wayne,5895,Seymour Comm School District,223,213,95.52
07,Central Rivers AEA,17,Cerro Gordo,5922,West Fork Comm School District,776,714,92.01
12,Northwest AEA,71,O'Brien,5949,Sheldon Comm School District,1196,871,72.83
13,Green Hills AEA,73,Page,5976,Shenandoah Comm School District,1079,983,91.10
12,Northwest AEA,72,Osceola,5994,Sibley-Ocheyedan Comm School District,729,519,71.19
13,Green Hills AEA,36,Fremont,6003,Sidney Comm School District,512,462,90.23
15,Great Prairie AEA,54,Keokuk,6012,Sigourney Comm School District,594,554,93.27
12,Northwest AEA,84,Sioux,6030,Sioux Center Comm School District,1725,921,53.39
05,Prairie Lakes AEA,11,Buena Vista,6035,Sioux Central Comm School District,656,535,81.56
12,Northwest AEA,97,Woodbury,6039,Sioux City Comm School District,14989,6090,40.63
05,Prairie Lakes AEA,13,Calhoun,6091,South Central Calhoun Comm School District,916,851,92.90
10,Grant Wood AEA,52,Johnson,6093,Solon Comm School District,1523,1423,93.43
11,Heartland AEA,91,Warren,6094,Southeast Warren Comm School District,455,433,95.17
05,Prairie Lakes AEA,40,Hamilton,6095,South Hamilton Comm School District,690,602,87.25
05,Prairie Lakes AEA,94,Webster,6096,Southeast Webster Grand Comm School District,523,483,92.35
13,Green Hills AEA,73,Page,6097,South Page Comm School District,113,110,97.35
07,Central Rivers AEA,86,Tama,6098,South Tama County,1488,685,46.04
12,Northwest AEA,71,O'Brien,6099,South O'Brien  Comm School District,576,527,91.49
01,Keystone AEA,96,Winneshiek,6100,South Winneshiek Comm School District,549,504,91.80
11,Heartland AEA,77,Polk,6101,Southeast Polk Comm School District,7397,5491,74.23
05,Prairie Lakes AEA,21,Clay,6102,Spencer Comm School District,2341,2030,86.72
05,Prairie Lakes AEA,30,Dickinson,6120,Spirit Lake Comm School District,1304,1159,88.88
10,Grant Wood AEA,57,Linn,6138,Springville Comm School District,438,415,94.75
13,Green Hills AEA,69,Montgomery,6165,Stanton Comm School District,290,272,93.79
01,Keystone AEA,33,Fayette,6175,Starmont Comm School District,584,547,93.66
05,Prairie Lakes AEA,11,Buena Vista,6219,Storm Lake Comm School District,2882,403,13.98
05,Prairie Lakes AEA,40,Hamilton,6246,Stratford Comm School District,80,74,92.50
11,Heartland AEA,39,Guthrie,6264,West Central Valley Comm School District,852,754,88.50
07,Central Rivers AEA,09,Bremer,6273,Sumner-Fredericksburg Comm School District,809,740,91.47
10,Grant Wood AEA,16,Cedar,6408,Tipton Comm School District,941,877,93.20
13,Green Hills AEA,78,Pottawattamie,6453,Treynor Comm School District,795,749,94.21
13,Green Hills AEA,78,Pottawattamie,6460,Tri-Center Comm School District,724,677,93.51
15,Great Prairie AEA,54,Keokuk,6462,Tri-County Comm School District,211,197,93.37
07,Central Rivers AEA,09,Bremer,6471,Tripoli Comm School District,389,366,94.09
01,Keystone AEA,96,Winneshiek,6509,Turkey Valley Comm School District,375,354,94.40
11,Heartland AEA,63,Marion,6512,Twin Cedars Comm School District,358,332,92.74
